Concat,Provider,Service,Ithrive,Description,Referral Process,Weblinks,Available for,Support Category,Age range,School Service,Referrer,Source,Reviewed?
Public Health Child Health Team: RSE,Public Health Child Health Team,RSE,Thriving,"Relationships  Sex education package developed in partnership with schools and the PSHE associate, full scheme of work, resources to enable lesson delivery, resource library, 3 hours of PH staff support per year",Email childhealth@medway.gov.uk,,Schools,Health; Anxiety/Depression/Low mood; Wellbeing,All ages,Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: School Assemblies,Public Health Child Health Team,School Assemblies,Thriving,Child Health team are able to provide a series of health and wellbeing assemblies. Silver level ABM schools award able to access 3x per year.,Email childhealth@medway.gov.uk,,Schools,Health; Anxiety/Depression/Low mood; Wellbeing,All ages,Y,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Self Harm Awareness Training,Public Health Child Health Team,Self Harm Awareness Training,Advice & Signposting,Training available to help identify CYP at risk of self harm and improve confidence in discussing concerns with CYP and their family. For parentscarersprofessionals.,Email childhealth@medway.gov.uk,,Schools,Family Support; Self harm,All ages,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Suicide Prevention,Public Health Child Health Team,Suicide Prevention,thriving,"Emotional support and understanding to someone who feels like they cant go on can have a positive effect. If people feel they can ask for help and find it when they need it, then more suicides can be prevented.

Using this online course, you could gain the skills and confidence to help someone who may be considering suicide.",,https://www.medway.gov.uk/info/200231/mental_wellbeing/966/suicide_prevention#online%20training,All,Anxiety/Depression/Low mood; Self harm,All ages,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Workplace Health Programme,Public Health Child Health Team,Workplace Health Programme,Advice & Signposting,Helps places to become healthier places to work with different award levels available.,,https://www.medway.gov.uk/info/200287/medway_healthy_workplace_programme,Professionals,Health; Anxiety/Depression/Low mood; Wellbeing,All ages,N,No referral required,Internal Service,y-Diane
Public Health Child Health Team: Youth Mental Health First Aid,Public Health Child Health Team,Youth Mental Health First Aid,Advice & Signposting,The child health team offer training courses for those who support those aged 8-18.,Email childhealth@medway.gov.uk,,Schools,Anxiety/Depression/Low mood; Wellbeing,All ages,N,Professional referral,Internal Service,y-Diane
Red Balloon: FASD Awareness training,Red Balloon,FASD Awareness training,Advice & Signposting,This course covers Foetal Alcohol Spectrum Disorder. FASD is the leading known preventable intellectual disability and is only caused by prenatal alcohol exposure. International studies have suggested that between 1 and 5 ofpeople have this condition.,See course dates and make a booking via the weblink,https://healthtraining.medway.gov.uk/training-courses/c6f66240-03a5-11ee-a37c-d97f87f80e1e/understanding-foetal-alcohol-spectrum-disorder-foetal-alcohol-spectrum-disorder-part-1-foetal-alcohol-spectrum-disorder,All,Special Educational Needs and Disability/ Autism/ADHD; Health; Behaviour,All ages,N,Self Referral,commissioned,y-Diane
Refugee Council: My View ,Refugee Council,My View ,Thriving,"all language mental health support for unaccompanied asylum seekers including group therapy, psycho-social groups and psychoeducational workshops. The approach is flexible, trauma informed and utilises non-confrontational and creative ways of expressing oneself and supporting young people with managing difficult emotions",myviewkentgroups@refugeecouncil.org.uk or call 07880 197169 or 07502088293,https://www.refugeecouncil.org.uk/get-help/my-view-childrens-therapy/,Age 13-21,Cultural Identity & Migration Support; Wellbeing; Anxiety/Depression/Low mood,Secondary School Age and post 16,N,Professional referral,ICB Commissioned service,y-Diane
Royal College of Psychiatrists: RC Psych,Royal College of Psychiatrists,RC Psych,Advice & Signposting,This webpage looks at the reasons behind why people self-harm and offers advice about what to do to help.,"No referral process, information and advice",https://www.rcpsych.ac.uk/mental-health/parents-and-young-people/information-for-parents-and-carers/self-harm-for-parents,All,Self harm,All ages,N,No referral required,RC Psych,y-Diane
SEND: CETR,SEND,CETR,Risk Support,"CETRs are focused on those children and young people who either have been, or may be about to be 
admitted to a specialist mental health  learning disability hospital either in the NHS or in the independent 
sector",email ros.gayle@medway.gov.uk,,Specific individuals,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,Professional referral,Internal Service,y-Diane
SEND: local offer,SEND,local offer,Advice & Signposting,Medway's local offer for SEND children and young people,,https://www.medway.gov.uk/info/200307/local_offer,All,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,Internal Service,y-Diane
SEND: SENCO forum,SEND,SENCO forum,Advice & Signposting,Network group for school SENCOs,"email 
seneducationteam@medway.gov.uk",,Schools,Special Educational Needs and Disability/ Autism/ADHD,All ages,Y,No referral required,Internal Service,y-Diane
SEND: SEND Early Years,SEND,SEND Early Years,"Getting Help
(goals based)","The Early Years SEND Team work with a range of children who have been identified as having complex additional needs. 
At one year, if a child is assessed to have physical difficulties, they may be invited to attend Little Builders  a structured programme to assess if a referral to physiotherapy is required. At two years, if a child is assessed to have communication difficulties, they may be invited to attend Big Builders  a structured programme to assess if a referral to speech and language therapy is required. For children with identified complex needs following Big Builders they may be invited to a Targeted Activity Group (TAG) run by the Early years SEND practitioners. SEND practitioners are the named contact for a patch of private, voluntary and independent settings. They offer a termly SENCO surgery and telephone support for the settings when required. Children are usually referred to the team by health visitors or community nursery nurses following a childs ASQ check. In addition we will take referrals from the Childrens Therapy Team and also from parents where appropriate. The team also offer PBS training for parents and nursery age professionals.",Children are usually referred to the team by health visitors or community nursery nurses following a child�s ASQ check. In addition we will take referrals from the Children�s Therapy Team and also from parents where appropriate. Email eyhighneeds@medway.gov.uk,,Aged 0-5,Special Educational Needs and Disability/ Autism/ADHD; Family Support; Behaviour,Under 5's,N,Professional referral,Internal Service,y-Diane
SEND: SEND team,SEND,SEND team,Risk Support,"The Special Educational Needs (SEN) Team consider requests for, and co-ordinate, Education, Health and Care (EHC) assessments for children and young people ages 0-25. If the local authority decides that an Education, Health and Care Plan (EHCP) should be issued following assessment, the team also secure educational placement and ensure that provision, as detailed in the EHCP, is in place for the child or young person.","email 
seneducationteam@medway.gov.uk",,Schools,Special Educational Needs and Disability/ Autism/ADHD,All ages,Y,Professional referral,Internal Service,y-Diane
Slideaway: Bereavement service,Slideaway,Bereavement service,"Getting Help
(goals based)","Protecting bereaved children and young people (CYP) from developing an Adverse Childhood Experience (ACE) as a result of a traumatic death. Slide Away is offering specialist support to children and young people to help gain a sense of control and confidence about their future by enabling them to adapt, emotionally and psychologically, to a life that has changed.",How to refer section on website ,https://www.slideaway.org,All,Bereavement,All ages,N,Self/Professional referral,commissioned by sara moreland,y-Diane
The Luna Foundation: Suicide Bereavement Training: Early Years Practitioners ,The Luna Foundation,Suicide Bereavement Training: Early Years Practitioners ,Advice & Signposting,"Designed for anyone who works with children aged five and under. Developed through international research, lived experience insights and collaboration with early years practitioners.

Our three-hour interactive online session will help you feel more confident supporting young children after suicide bereavement.

There will be opportunities to share experiences and ask questions during interactive elements and breakout sessions.

 Each of our live training sessions can accommodate up to 20 people. Our training is CPD-accredited and participants can claim three hours of professional training time. All participants will receive a certificate of completion and an invitation to become a Luna Ambassador.",https://www.eventbrite.co.uk/o/luna-foundation-cic-57425170923,https://teamluna.org/training/#1695644300648-4f64adba-ff40,Early Years professionals,Suicide support and suicide bereavement,Under 5's,N,Professional referral,small grant commissioned sara m,y-Diane
Unstoppable Girls: Girls with ADHD,Unstoppable Girls,Girls with ADHD,Thriving,"The Unstoppable Girls community is all about providing a safe space, a space to be seen  heard, a space to explore neurodiversity and to no longer feel weird or alone. Unstoppable Girls CIC works with teenage and young adult females. This project will design and deliver a course called Confidence and ADHD that will run over 4 weeks. They will deliver this course in a variety of settings within schools, colleges youth hubs, community settings and online. Around the Ashford district.",form on website ,https://unstoppablegirls.org.uk,Girls with ADHD ,Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,commissioned by sara moreland,y-Diane
Virtual School: Medway Virtual School,Virtual School,Medway Virtual School,Risk Support,"Support for children who are in care and Medway is the responsible Local Authority. Some children in care placed at Medway schools and will have a different responsible local authority. Projects Medway Virtual School currently support in school regarding mental health include place2be, mind, Lego therapy and school based counsellors. Each child in care has a personal educational plan (PEP) termly and as part of this are able to request pupil premium funding on an individual level according to their needs. This includes but is not limited to: The Eden project and Lego therapy.",email virtual school <virtualschool@medway.gov.uk>,,Schools,"Social Care; Special Educational Needs and Disability/ Autism/ADHD; Bullying; Trauma/Victim support; Behaviour; Homelessness, finance, employment; Anxiety/Depression/Low mood; Wellbeing; Bereavement",All ages,Y,Professional referral,Internal Service,y-Diane
Virtual School: MIND virtual school project,Virtual School,MIND virtual school project,"Getting Help
(goals based)","MIND support some of our schools who have a high number of Children in Care by providing a service that is flexible around the needs of the cohort. They can support schools with 1:1 sessions, group work, teacher awareness around certain issues or drop in sessions for pupils. They focus on emotional wellbeing and positive coaching but can also adapt to current themes or topics that are prevalent in school such as anxiety, self-harm, or how to manage stress.",email virtual school <virtualschool@medway.gov.uk>,https://www.mind.org.uk/about-us/,Selected Schools,Wellbeing; Anxiety/Depression/Low mood; Self harm,All ages,Y,Professional referral,Internal Service,y-Diane
VRU Kent and Medway: Don't Do Nothing,VRU Kent and Medway,Don't Do Nothing,Advice & Signposting,A campaign for young people to promote the Active Bystander Approach and highlights options which are available to help prevent harm from happening and what they can do to help someone who may be in trouble or in distress without putting themselves at risk.,No referral process,https://www.kentandmedwayvru.co.uk/project/dontdonothing/,All,Bullying; Behaviour,All ages,N,No referral required,commissioned,y-Diane
Youth Justice Service: MH Practitioner,Youth Justice Service,MH Practitioner,Risk Support,The post is joint across NELFT  Youth Justice Service to provide triage and signposting support for the Young Offender and brief intervention if required. This service is only available to YOS and external professionals cannot refer into the service.,Must be a Youth Justice Service case already existing. ,,Open to Youth Justice Service,Anxiety/Depression/Low mood; Behaviour,All ages,N,Professional referral,Internal Service,y-Diane
Youth Justice Service: YJS,Youth Justice Service,Young Offenders Service,Risk Support,"Youth offending teams work with young people that get into trouble with the law. They look into the background of a young person and try to help them stay away from crime. They also run local crime prevention programmes, help young people at the police station if theyre arrested, help young people and their families at court, supervise young people serving a community sentence and stay in touch with a young person if theyre sentenced to custody.",Referrals made through police or court. In some instances social services may be able to refer dependent on the situation.,,Open to Youth Justice Service,Behaviour,All ages,N,Professional referral,Internal Service,y-Diane
Youth service: Brief Intervention counselling,Youth service,Brief Intervention counselling,"Getting Help
(goals based)","Brief Intervention Counselling aimed at young people aged 10-19 are experiencing low level needs or need support with various challenges in their day to day lives. The service will be able to offer up to 6 sessions of counselling per young person, including an assessment session. The service is now open to adult referrals as well.",Email youth.service@medway.gov.uk,,Aged 10+,Anxiety/Depression/Low mood,"Primary school age, Secondary School age and post 16 ",N,Professional referral,Internal Service,y-Diane
Youth service: Youth clubs and activities,Youth service,Youth clubs and activities,Thriving,"A range of activities, support and opportunities for young people aged 8-19 and up to 25 for those with additional needs. Sessions include: sports, music, arts, cookery, social spaces, rock climbing, archery, Duke of Edinburgh Award and more.",Young people can join most sessions without a referral by attending at the advertised time. When otherwise this will be stated.,https://www.medway.gov.uk/info/200499/youth_centre_sessions,Aged 8-25,Anxiety/Depression/Low mood; Wellbeing,"Primary school age, Secondary School age and post 16 ",N,No referral required,Internal Service,y-Diane
Amazing Minds: Amazing Minds,Amazing Minds,Amazing Minds,Advice & Signposting,"Amazing Minds is the new and exciting, one-to-one, one hour per week, six session growth mindset programme based on the belief that abilities and intelligence can be developed with effort, learning, courage and persistence.",Schools involved in the project work with the provider and families to select children,https://www.amazingminds.co.uk/,Primary Schools,Anxiety/Depression/Low mood; Wellbeing,Primary School age (5-11 years old),Y,Professional referral,commissioned,y-Diane
Child Health Commissioning: Child Mental Health Website,Child Health Commissioning,Child Mental Health Website,Advice & Signposting,"We all need a bit of extra help from time to time. Knowing where your child or young person can seek help for their mental wellbeing, should they need it, is always worthwhile. To support you, we've pulled together services in Medway who can support children and young people across the year. There are a range of activities and initiatives available for children across Medway that can help contribute towards good mental health.",,https://www.medway.gov.uk/childmentalhealth,All,Anxiety/Depression/Low mood; Wellbeing; Special Educational Needs and Disability/ Autism/ADHD; Bereavement; Family Support,All ages,N,No referral required,Our team,y-Diane
YMCA Downslink Group: e-wellbeing,YMCA Downslink Group,e-wellbeing,Advice & Signposting,"e-wellbeing is an online platform offering a range of mental health resources and self-help tools for young people. It aims to provide young people with practical ways to manage their mental well-being and seek help when needed. The website includes interactive activities, videos and information on a variety of mental health topics, including stress, anxiety, and low mood",,https://e-wellbeing.co.uk/,All,Anxiety/Depression/Low mood; Wellbeing; Self-harm,All ages,N,No referral required,"Kent, Surrey and Sussex: Engaging Young adults with mental health challenges: a Clinician's Guide",y-Harrison
Sussex Partnership NHS Foundation Trust: iRock,Sussex Partnership NHS Foundation Trust,iRock,Advice & Signposting,"iRock is a UK-based service offering youth-friendly mental health support for young people aged 16-25. It provides personalised coaching and therapy services, including a unique blend of mental health",,https://www.irocksussex.com/,14-25,Anxiety/Depression/Low mood; Wellbeing,Secondary School Age and post 16,N,No referral required,"Kent, Surrey and Sussex: Engaging Young adults with mental health challenges: a Clinician's Guide",y-Harrison
Medway Council: Giving Children the Best Start in Life,Medway Council,Giving Children the Best Start in Life,Thriving,"Training that aims to help professionals have effective conversations with parents  carers in order to support healthy pregnancy, child development, positive parenting and general health  wellbeing.  We will also provide resources and signposting information to help families access additional support through Medways Children  Family Hubs  Start for Life offer.",Self-referral,https://healthtraining.medway.gov.uk/training-courses/8d61c860-69da-11ef-97ed-4957201ccf40/giving-children-the-best-start-in-life-1,Professionals,Family Support,All ages,N,No referral required,Internal,y-Harrison
Beat Eating Disorders: SPOT,Beat Eating Disorders,SPOT,Advice & Signposting,"SPOT is Beats online learning platform for school professionals working with pupils in primary, secondary, and further education settings. It's aim is to raise awareness of eating disorders within educational environments and to equip education professionals with the knowledge and confidence to identify early signs of an eating disorder and to signpost pupils and their families to the appropriate medical support. SPOT is currently fully funded for all primary and secondary schools, alongside sixth forms and further education colleges.",Self-referral,https://www.beateatingdisorders.org.uk/get-information-and-support/training-for-professionals/training-for-education-professionals/training-for-schools-spot/,School Professionals,Eating Disorder,All ages,Y,No referral required,NHSE,y-Harrison
National Resource: Autism Central,National Resource,Autism Central,Advice & Signposting,"Autism Central is for families and carers of autistic people and those who support them. Autism Central is a peer support programme co-produced with parents, carers, and autistic people of all ages. We offers families education, coaching, and connection through resources, one-to-one peer support, and community events.",,https://www.autismcentral.org.uk/,"Parents/Carers, Autistic Individuals ",Special Educational Needs and Disability/ Autism/ADHD,All ages,N,No referral required,NHSE,y-Harrison
Violence Reduction Unit: Reachable Moments,Violence Reduction Unit,Reachable Moments,"Getting Help
(goals based)","Reachable Moments support young victims of youth violence who have been admitted to the Medway Maritime hospital, Medway and William Harvey Hospital, Ashford. We strongly believe that this is a critical moment for these young people, where we can make a real difference by supporting them with intervention at the earliest opportunity. We understand that gang culture is a challenge that young people and our community face and the risks our young people have around county lines, child sexual exploitation, domestic violence, and substance misuse. This work is in partnership with the safeguarding teams at the hospitals and is building relationships with the local police.",Professional referral - Call 01634 331331 for Medway,https://kentandmedwayvru.co.uk/project/reachable-moments/,All,Trauma/Victim support,All ages,N,Professional referral,VRU,y-Harrison
Medway & Swale Mental Health Together (MHT),MHT,Mental Health Together,"Getting more help
(specialist)","MHT and MHT teams provide community-based support and treatment for adults of all ages experiencing mental health challenges. These teams bring together the expertise of the former Community Mental Health Teams (CMHT) and Community Mental Health Services for Older People (CMHSOP) to make sure that care is tailored to individual needs, regardless of age","Professional referral including GP, Talking Therapies, Local Authorities etc.",https://www.kentmedwaymentalhealth.nhs.uk/our-services/medway-swale-mental-health-together-mht-and-mental-health-together-plus-mhtplus/,18+,,,N,Professional referral,,y-Harrison
Medway & Swale Mental Health Together Plus (MHT+),MHT,Mental Health Together +,"Getting more help
(specialist)","MHT and MHT teams provide community-based support and treatment for adults of all ages experiencing mental health challenges. These teams bring together the expertise of the former Community Mental Health Teams (CMHT) and Community Mental Health Services for Older People (CMHSOP) to make sure that care is tailored to individual needs, regardless of age","Professional referral including GP, Talking Therapies, Local Authorities etc.",https://www.kentmedwaymentalhealth.nhs.uk/our-services/medway-swale-mental-health-together-mht-and-mental-health-together-plus-mhtplus/,18+,,,N,Professional referral,,y-Harrison
Medway Community Support Mental Health Outreach Team,CSMHOT,Medway's Community Support Mental Health Outreach Team ,"Getting more help
(specialist)","Medway's Community Support Mental Health Outreach Team supports people to regain their confidence through independent living. Support is also available to improve relationships, social skills, housing, education and connections.",Via Adult Social Care Team,https://www.medway.gov.uk/info/200169/adult_social_care/1477/medways_community_support_mental_health_outreach_team_csmhot,18+,,,N,Professional referral,Internal Service,y-Harrison
